"Timestamp","What.programme.are.you.in.","Have.you.taken.a.course.on.machine.learning.","Have.you.taken.a.course.on.information.retrieval.","Have.you.taken.a.course.on.statistics.","Have.you.taken.a.course.on.databases.","What.is.your.gender.","Chocolate.makes.you.....","When.is.your.birthday..date..","Number.of.neighbors.sitting.around.you.","Did.you.stand.up.","You.can.get..100.if.you.win.a.local.DM.competition..or.we.don.t.hold.any.competitions.and.I.give.everyone.some.money..not.the.same.amount....How.much.do.you.think.you.would.get.then..","Give.a.random.number","Time.you.went.to.be.Yesterday","What.makes.a.good.day.for.you..1..","What.makes.a.good.day.for.you..2.."
"4/5/2018 11:28:18","Business Analytics","yes","0","mu","ja","female","neither","19-03-1993","4","no","100/300","9","00:00","sleep","free time"
"4/5/2018 11:28:19","Bioinformatics master","yes","0","sigma","nee","female","neither","?","4/8","no","5","8","22:00","good weather","achievement"
"4/5/2018 11:28:20","Mathematics","no","0","mu","nee","female","I have no idea what you are talking about","24-09-1996","7","no","5","7","23:00","sleep","be around nice people"
"4/5/2018 11:28:18","Bioinformatics and Systems biology","no","0","mu","ja","male","I have no idea what you are talking about","1996-05-02","7","no","3","3","12","rest","no compile errors on first try"
"4/5/2018 11:28:21","OR","no","0","mu","nee","male","neither","1995","3","no","10","ACHT","0","sports","chocolate"
"4/5/2018 11:28:23","Computational Science","yes","unknown","mu","ja","male","neither","1990","1","no","80","4","300","productive","no rain"
"4/5/2018 11:28:25","Bioinformatics & Systems Biology","no","0","mu","nee","male","fat","26-11-1993","1","no","5","382763","23","sleep","cheese"
"4/5/2018 11:28:26","AI","yes","0","mu","ja","male","fat","18-08-1994","1","no","20","7","23:00","good coffee","music"
"4/5/2018 11:28:29","AI VU ","no","0","mu","nee","male","fat","30-12-1990","5","no","50","6","3am","sleep","sports"
"4/5/2018 11:28:30","Computational Science","yes","0","sigma","nee","male","neither","August 7th","2","no","0","4","4:30","1","got 2 8.5s"
"4/5/2018 11:28:32","Business Analytics ","yes","1","sigma","ja","male","unknown","05/04/2000","400","unknown","1E+24","7","04:00","guest lecture by tupac","0 heart attacks"
"4/5/2018 11:28:42","Cls","no","0","sigma","nee","male","slim","25-12-1991","7","no","0.34","7","02:00","temptation island","beer"
"4/5/2018 11:28:56","QRM","no","0","mu","ja","male","I have no idea what you are talking about","18 March","1","no","5","3","0","sunshine","following 4 courses at the same time, rain"
"4/5/2018 11:29:04","MSc Bioinformatics and Systems Biology","yes","0","mu","nee","female","neither","24-10-1993","1","no","£.25","5","1:05","a good book","be around nice people"
"4/5/2018 11:29:27","Ai","yes","1","mu","ja","male","I have no idea what you are talking about","9/02/93","6","no","50","9","3 3","hanging out","sex"
"4/5/2018 11:30:36","Artificial Intelligence","no","0","mu","nee","male","slim","09-11","2","unknown","0.50 euros","6123","23.3","food","seeing friends"
"4/5/2018 11:38:01","Econometrics ","no","0","mu","nee","male","fat","22/11/1991","3","no","2","2","2 am","free time","money"
"4/5/2018 12:10:39","AI","no","0","unknown","unknown","female","neither","20-05-1993","7","unknown","0","88","22.47","beer","activities"
"4/5/2018 13:15:17","AI","yes","1","mu","nee","male","fat","30-07-1992","8","no","11","2","04:00","seeing friends","beer"
"4/5/2018 15:09:53","Physics","no","1","mu","nee","male","neither","04-12-1991","5","no","about 0.4£ for N=250","10","01:30","good company","well rested and structured"
"4/5/2018 18:04:54","BA","yes","1","mu","ja","male","fat","7-10-1994","3","no","80","6","1:00","sleep well","relax"
